Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-82593211,06-01-2023,IN_KL_TVM,Independent House,6,2185,18,3.67,30.12,82.19,18.89 kWh,18.06 kWh,-4.39,16.89,0
IN-KL-ELC-98073455,17-01-2023,IN_KL_ERN,Villa,5,2552,12,4.45,32.5,61.62,16.85 kWh,15.67 kWh,-7,16.28,0
IN-KL-ELC-11995462,01-01-2023,IN_KL_ERN,Apartment,3,1094,12,5.16,27.97,51.26,14.13 kWh,14.55 kWh,2.97,16.61,0
IN-KL-ELC-24470126,10-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,32.53,48.57,19.74 kWh,19.3 kWh,-2.23,17.26,0
IN-KL-ELC-65873763,22-01-2023,IN_KL_ERN,Apartment,3,513,9,5.83,32.26,48.2,14.5 kWh,null,-1.03,16.61,1
IN-KL-ELC-60604864,21-01-2023,IN_KL_ERN,Villa,4,2704,21,2.64,35.34,67.2,18.29 kWh,23.99693492826015 kWh,31.2,16.28,1
IN-KL-ELC-31013601,26-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,31.22,75.08,19.33 kWh,17.26 kWh,-10.71,16.02,0
IN-KL-ELC-29132357,25-01-2023,IN_KL_TVM,Independent House,6,2362,15,3.45,32.25,66.97,18.23 kWh,null,32.99,16.89,1
IN-KL-ELC-39037024,04-01-2023,IN_KL_TVM,Villa,2,2065,18,3.32,27.96,81.77,13.76 kWh,13.01 kWh,-5.45,16.02,0
IN-KL-ELC-39037024,05-01-2023,IN_KL_TVM,Villa,2,2065,18,3.32,26.2,59.32,13.38 kWh,13.78 kWh,2.99,16.02,0
IN-KL-ELC-60884000,15-01-2023,IN_KL_ERN,Villa,2,2588,18,4.43,26.96,67.36,14.34 kWh,11.79 kWh,-17.78,16.28,0
IN-KL-ELC-74974591,23-01-2023,IN_KL_ERN,Apartment,6,1762,6,7.17,37.04,73.76,19.1 kWh,32.10217548041563 kWh,68.07,16.61,1
IN-KL-ELC-39477221,22-01-2023,IN_KL_ERN,Apartment,4,503,21,7.72,32.09,64.76,21.39 kWh,34.039514198129446 kWh,59.14,16.61,1
IN-KL-ELC-55638606,18-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,26.13,62.04,14.52 kWh,16.01 kWh,10.26,16.28,0
IN-KL-ELC-34699748,24-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,29.14,50.87,11.9 kWh,12.18 kWh,2.35,16.43,0
IN-KL-ELC-56502038,14-01-2023,IN_KL_ALP,Apartment,5,2182,20,3.09,26.33,70.37,17.03 kWh,18.5 kWh,8.63,16.47,0
IN-KL-ELC-29961688,12-01-2023,IN_KL_TVM,Apartment,3,810,21,5.07,22.81,60.98,15.75 kWh,14.84 kWh,-5.78,17.26,0
IN-KL-ELC-89330274,01-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,22.49,76.71,15.0 kWh,20.91912580572614 kWh,39.46,16.43,1
IN-KL-ELC-86565454,30-01-2023,IN_KL_TVM,Independent House,4,1513,20,7.66,30.34,73.67,20.45 kWh,29.372106325533984 kWh,43.63,16.89,1
IN-KL-ELC-96573799,17-01-2023,IN_KL_ERN,Villa,4,578,19,4.5,37.33,55.26,19.56 kWh,19.54 kWh,-0.1,16.28,0
IN-KL-ELC-77385755,22-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,25.66,67.39,17.73 kWh,17.05 kWh,-3.84,17.26,0
IN-KL-ELC-57963776,21-01-2023,IN_KL_ERN,Apartment,5,1156,8,4.59,25.62,47.95,13.96 kWh,12.9 kWh,-7.59,16.61,0
IN-KL-ELC-34712069,25-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,29.15,49.03,16.63 kWh,17.67 kWh,6.25,16.47,0
IN-KL-ELC-28357262,22-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,31.35,63.96,19.11 kWh,33.24238950329004 kWh,73.95,16.43,1
IN-KL-ELC-23402388,10-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,32.13,46.73,20.57 kWh,19.99 kWh,-2.82,16.89,0
IN-KL-ELC-69251424,08-01-2023,IN_KL_ALP,Apartment,5,1037,16,4.19,30.92,69.04,17.68 kWh,17.33 kWh,-1.98,16.47,0
IN-KL-ELC-97733707,06-01-2023,IN_KL_ALP,Apartment,3,2652,20,5.31,35.95,75.22,19.04 kWh,19.42 kWh,2,16.47,0
IN-KL-ELC-27671813,12-01-2023,IN_KL_TVM,Independent House,1,2623,6,3.37,35.97,82.86,9.73 kWh,9.7 kWh,-0.31,16.89,1
IN-KL-ELC-31401160,22-01-2023,IN_KL_ERN,Independent House,2,1915,16,6.81,32.76,56.35,null,16.9 kWh,0.72,16.43,0
IN-KL-ELC-27671813,05-01-2023,IN_KL_TVM,Independent House,1,2623,6,3.37,29.11,79.23,8.81 kWh,10.09930027116905 kWh,14.63,16.89,1
IN-KL-ELC-36527734,17-01-2023,IN_KL_ALP,Apartment,1,769,16,3.76,23.92,68.44,11.56 kWh,13.492469797237973 kWh,16.72,16.47,0
IN-KL-ELC-50138855,12-01-2023,IN_KL_ALP,Apartment,2,1651,7,6.12,31.57,60.09,12.73 kWh,12.49 kWh,-1.89,16.47,0
IN-KL-ELC-54399325,27-01-2023,IN_KL_ERN,Independent House,3,906,7,7.79,30.91,65.94,14.99 kWh,21.366971459760826 kWh,42.54,16.43,1
IN-KL-ELC-35880395,20-01-2023,IN_KL_ALP,Apartment,6,2566,16,3.85,26.79,62.9,null,23.674928023501394 kWh,35.98,16.47,1
IN-KL-ELC-24569037,19-01-2023,IN_KL_ERN,Villa,4,1470,6,6.43,29.12,61.52,14.33 kWh,13.54 kWh,-5.51,16.28,0
IN-KL-ELC-55029458,10-01-2023,IN_KL_ALP,Apartment,1,2364,16,7.53,25.04,68.82,14.39 kWh,14.32 kWh,-0.49,16.47,0
IN-KL-ELC-22833202,14-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,26.32,74.07,11.98 kWh,12.45 kWh,3.92,17.83,1
IN-KL-ELC-32146342,14-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,34.27,52.64,18.95 kWh,30.35182227411864 kWh,60.17,17.26,1
IN-KL-ELC-82741791,18-01-2023,IN_KL_ERN,Independent House,3,1297,9,7.49,23.27,50.53,13.73 kWh,13.66 kWh,-0.51,16.43,0
IN-KL-ELC-18533227,28-01-2023,IN_KL_TVM,Apartment,4,2790,21,4.08,31.98,82.52,18.54 kWh,19.93 kWh,7.5,17.26,0
IN-KL-ELC-94272884,08-01-2023,IN_KL_ALP,Apartment,1,896,21,5.61,36.63,56.03,17.43 kWh,16.69 kWh,-4.25,16.47,0
IN-KL-ELC-98944256,26-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,28.75,45.44,9.99 kWh,9.92 kWh,-0.7,16.61,1
IN-KL-ELC-53791402,23-01-2023,IN_KL_TVM,Apartment,3,1634,10,6.35,26.88,54.47,14.07 kWh,12.0 kWh,-14.71,17.26,1
IN-KL-ELC-47405775,19-01-2023,IN_KL_ERN,Apartment,2,1840,6,4.4,20.21,81.38,9.21 kWh,8.97 kWh,-2.61,16.61,1
IN-KL-ELC-44179469,15-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,31.57,83.62,17.68 kWh,29.081832377382327 kWh,64.49,16.61,1
IN-KL-ELC-48120838,29-01-2023,IN_KL_ALP,Independent House,3,2244,12,4.62,26.25,80.3,13.37 kWh,13.77 kWh,2.99,17.83,0
IN-KL-ELC-34699748,21-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,28.98,84.04,11.87 kWh,11.6 kWh,-2.27,16.43,0
IN-KL-ELC-58847825,22-01-2023,IN_KL_ERN,Apartment,1,1280,11,6.44,33.48,67.05,13.66 kWh,19.461433744496304 kWh,42.47,16.61,1
IN-KL-ELC-66694772,17-01-2023,IN_KL_TVM,Independent House,1,1962,14,6.9,25.86,55.01,13.48 kWh,null,2.37,16.89,1
IN-KL-ELC-24569037,20-01-2023,IN_KL_ERN,Villa,4,1470,6,6.43,31.02,56.58,14.74 kWh,19.48965331825041 kWh,32.22,16.28,1
IN-KL-ELC-58776490,15-01-2023,IN_KL_ALP,Apartment,1,679,14,7.14,30.52,55.06,null,13.96 kWh,-4.84,16.47,0
IN-KL-ELC-51224449,24-01-2023,IN_KL_ALP,Independent House,5,950,20,6.09,23.87,55.62,18.4 kWh,17.66 kWh,-4.02,17.83,0
IN-KL-ELC-46470083,06-01-2023,IN_KL_TVM,Independent House,2,2202,12,3.44,32.4,80.01,12.62 kWh,14.38 kWh,13.95,16.89,0
IN-KL-ELC-15833790,16-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,28.86,77,14.92 kWh,21.285473471036617 kWh,42.66,16.89,1
IN-KL-ELC-86829181,02-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,32.72,55.4,15.26 kWh,15.17 kWh,-0.59,17.26,0
IN-KL-ELC-44179469,05-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,28.06,82.38,16.77 kWh,16.12 kWh,-3.88,16.61,0
IN-KL-ELC-39857022,04-01-2023,IN_KL_ALP,Independent House,6,788,6,3.92,32.2,45.07,15.33 kWh,14.44 kWh,-5.81,17.83,0
IN-KL-ELC-77037468,19-01-2023,IN_KL_ALP,Villa,1,1609,21,7.4,34.51,46.61,18.36 kWh,17.88 kWh,-2.61,16.26,0
IN-KL-ELC-13024599,21-01-2023,IN_KL_TVM,Independent House,6,2725,6,6.08,28.07,67.46,15.98 kWh,15.02 kWh,-6.01,16.89,0
IN-KL-ELC-73630255,24-01-2023,IN_KL_ALP,Villa,1,1963,6,3.38,22.47,57.61,7.93 kWh,7.03 kWh,-11.35,16.26,1
IN-KL-ELC-77157976,13-01-2023,IN_KL_ALP,Villa,1,796,13,6.45,27.73,72.43,13.22 kWh,12.28 kWh,-7.11,16.26,0
IN-KL-ELC-36789255,23-01-2023,IN_KL_ERN,Independent House,1,1818,15,3.9,28.76,76.53,12.24 kWh,20.396440671818603 kWh,66.64,16.43,1
IN-KL-ELC-83374719,18-01-2023,IN_KL_TVM,Apartment,4,1660,21,2.97,33.65,73.32,18.12 kWh,24.350580151372824 kWh,34.39,17.26,1
IN-KL-ELC-25353404,26-01-2023,IN_KL_TVM,Independent House,1,922,12,5.88,35.03,60.1,13.88 kWh,15.91 kWh,14.63,16.89,0
IN-KL-ELC-50932588,01-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,30.87,59.09,19.43 kWh,30.93493949501848 kWh,59.21,16.61,1
IN-KL-ELC-90825900,13-01-2023,IN_KL_ALP,Independent House,3,2379,14,4.54,29.94,72.9,14.79 kWh,14.58 kWh,-1.42,17.83,0
IN-KL-ELC-93423120,30-01-2023,IN_KL_ERN,Villa,6,1116,16,5.71,20.91,84.74,17.0 kWh,17.71 kWh,4.18,16.28,0
IN-KL-ELC-61826522,25-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,34.24,83.49,17.73 kWh,19.46 kWh,9.76,17.83,0
IN-KL-ELC-56502038,09-01-2023,IN_KL_ALP,Apartment,5,2182,20,3.09,26.15,77.33,16.98 kWh,26.655322728143226 kWh,56.98,16.47,1
IN-KL-ELC-95384842,27-01-2023,IN_KL_TVM,Independent House,3,992,13,7.19,28.13,57.88,15.98 kWh,17.89 kWh,11.95,16.89,0
IN-KL-ELC-38968944,08-01-2023,IN_KL_ERN,Apartment,6,2655,20,2.52,33.63,51.46,19.71 kWh,26.584664347060894 kWh,34.88,16.61,1
IN-KL-ELC-90825900,27-01-2023,IN_KL_ALP,Independent House,3,2379,14,4.54,25.93,46.65,13.9 kWh,12.52 kWh,-9.93,17.83,1
IN-KL-ELC-57335079,19-01-2023,IN_KL_ALP,Independent House,6,2319,18,4.08,29.97,71.69,19.15 kWh,20.78 kWh,8.51,17.83,0
IN-KL-ELC-91609437,25-01-2023,IN_KL_TVM,Apartment,6,1529,6,3.62,28.63,72.02,14.31 kWh,23.552620352509326 kWh,64.59,17.26,1
IN-KL-ELC-15833790,08-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,27.26,74.57,14.55 kWh,14.87 kWh,2.2,16.89,0
IN-KL-ELC-88053158,26-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,27.17,81.58,14.43 kWh,14.43 kWh,0,16.47,0
IN-KL-ELC-77934995,18-01-2023,IN_KL_TVM,Apartment,3,2725,13,7.29,26.81,82.55,15.73 kWh,15.36 kWh,-2.35,17.26,0
IN-KL-ELC-36971038,28-01-2023,IN_KL_ERN,Independent House,3,1607,20,5.13,31.54,84.89,17.75 kWh,16.92 kWh,-4.68,16.43,0
IN-KL-ELC-99631077,05-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,29.9,59.27,18.39 kWh,20.72 kWh,12.67,16.47,0
IN-KL-ELC-32146342,12-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,33.08,73.22,18.63 kWh,18.56 kWh,-0.38,17.26,0
IN-KL-ELC-98073455,30-01-2023,IN_KL_ERN,Villa,5,2552,12,4.45,24.39,78.56,14.87 kWh,15.11 kWh,1.61,16.28,0
IN-KL-ELC-35880395,02-01-2023,IN_KL_ALP,Apartment,6,2566,16,3.85,26.41,48.67,17.3 kWh,29.487054752899265 kWh,70.45,16.47,1
IN-KL-ELC-50932588,12-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,29.5,52.07,19.04 kWh,19.31 kWh,1.42,16.61,0
IN-KL-ELC-93423120,28-01-2023,IN_KL_ERN,Villa,6,1116,16,5.71,26.86,73.28,null,16.49 kWh,-12.1,16.28,0
IN-KL-ELC-35467398,02-01-2023,IN_KL_ERN,Apartment,4,2759,11,6.07,32.74,70.98,16.66 kWh,18.5 kWh,11.04,16.61,0
IN-KL-ELC-12266547,06-01-2023,IN_KL_ERN,Apartment,6,840,13,6.13,26.47,57.66,17.94 kWh,18.38 kWh,2.45,16.61,0
IN-KL-ELC-81023113,21-01-2023,IN_KL_TVM,Independent House,1,2076,14,6.17,23.67,77.13,12.52 kWh,12.52 kWh,0,16.89,0
IN-KL-ELC-52398780,12-01-2023,IN_KL_TVM,Independent House,6,2298,13,7.37,34.47,71.26,21.21 kWh,22.19 kWh,4.62,16.89,1
IN-KL-ELC-70410608,11-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,31.71,79.61,15.44 kWh,15.51 kWh,0.45,16.89,0
IN-KL-ELC-46370776,25-01-2023,IN_KL_ERN,Apartment,4,2294,9,5.65,36.22,83.25,16.39 kWh,17.02 kWh,3.84,16.61,0
IN-KL-ELC-34853140,15-01-2023,IN_KL_ERN,Villa,4,1789,12,6.35,34.28,66.77,17.63 kWh,24.17626153349838 kWh,37.13,16.28,1
IN-KL-ELC-85446912,01-01-2023,IN_KL_TVM,Apartment,6,1812,6,6.76,24.61,71.72,15.6 kWh,14.15 kWh,-9.29,17.26,0
IN-KL-ELC-28802060,25-01-2023,IN_KL_TVM,Independent House,1,1168,10,2.59,33.88,62.94,10.31 kWh,14.276323840588246 kWh,38.47,16.89,1
IN-KL-ELC-50289690,17-01-2023,IN_KL_ALP,Independent House,2,1200,14,5.6,34.79,74.88,15.54 kWh,29.285117596881577 kWh,88.45,17.83,1
IN-KL-ELC-12257301,15-01-2023,IN_KL_ERN,Apartment,5,1948,10,4.7,31.8,47.46,16.15 kWh,null,3.34,16.61,1
IN-KL-ELC-86565454,23-01-2023,IN_KL_TVM,Independent House,4,1513,20,7.66,19.9,64.75,17.26 kWh,18.03 kWh,4.46,16.89,0
IN-KL-ELC-34382899,25-01-2023,IN_KL_ERN,Apartment,6,2268,16,6.07,32.1,63.7,20.58 kWh,19.09 kWh,-7.24,16.61,0
IN-KL-ELC-56602744,08-01-2023,IN_KL_TVM,Independent House,5,814,13,6.8,29.66,51.66,18.26 kWh,26.637294791108282 kWh,45.88,16.89,1
IN-KL-ELC-21680006,17-01-2023,IN_KL_ERN,Independent House,6,1352,17,2.52,30.6,56.09,null,18.63 kWh,4.66,16.43,0
IN-KL-ELC-68820657,13-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,25.72,50.52,12.39 kWh,13.35 kWh,7.75,16.43,0
IN-KL-ELC-64023664,17-01-2023,IN_KL_ERN,Independent House,2,569,9,3.71,31.68,48.74,11.62 kWh,11.17 kWh,-3.87,16.43,1
IN-KL-ELC-34853140,28-01-2023,IN_KL_ERN,Villa,4,1789,12,6.35,34.98,52.6,17.8 kWh,27.772968540270902 kWh,56.03,16.28,1
IN-KL-ELC-61622615,07-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,30.49,72.98,11.84 kWh,11.7 kWh,-1.18,17.26,1
IN-KL-ELC-21573061,23-01-2023,IN_KL_ERN,Independent House,1,2578,6,5.15,31.55,76.91,10.5 kWh,11.28 kWh,7.43,16.43,1
IN-KL-ELC-96990855,30-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,31.93,81.68,19.26 kWh,31.688061908127548 kWh,64.53,16.26,1
IN-KL-ELC-94107124,05-01-2023,IN_KL_TVM,Independent House,3,1980,7,6.32,31.98,76.2,14.1 kWh,13.77 kWh,-2.34,16.89,0
IN-KL-ELC-77063678,01-01-2023,IN_KL_ERN,Independent House,5,1931,14,5.93,36.39,74.5,19.78 kWh,20.37 kWh,2.98,16.43,0
IN-KL-ELC-98944256,11-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,29.54,68.68,10.11 kWh,9.6 kWh,-5.04,16.61,1
IN-KL-ELC-19196471,29-01-2023,IN_KL_TVM,Apartment,4,1080,7,5.09,29.68,72.05,13.8 kWh,13.72 kWh,-0.58,17.26,0
IN-KL-ELC-57261281,08-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,31.78,76.17,12.35 kWh,12.91 kWh,4.53,16.47,0
IN-KL-ELC-67499236,04-01-2023,IN_KL_ERN,Apartment,2,2184,10,6.07,29.95,64.32,13.44 kWh,21.333313565134876 kWh,58.73,16.61,1
IN-KL-ELC-84064269,01-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,29.57,64.61,11.84 kWh,11.99 kWh,1.27,16.43,0
IN-KL-ELC-46022951,05-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,32.76,72.52,17.54 kWh,17.66 kWh,0.68,16.47,0
IN-KL-ELC-24122558,03-01-2023,IN_KL_TVM,Apartment,5,2676,11,3.1,26.97,67.8,14.2 kWh,19.354549750277922 kWh,36.3,17.26,1
IN-KL-ELC-19637600,08-01-2023,IN_KL_TVM,Villa,4,1833,10,6.97,30.5,66.55,16.45 kWh,14.54 kWh,-11.61,16.02,0
IN-KL-ELC-60116792,19-01-2023,IN_KL_TVM,Independent House,2,2570,20,3.68,30.41,71.36,15.25 kWh,13.95 kWh,-8.52,16.89,0
IN-KL-ELC-39477221,04-01-2023,IN_KL_ERN,Apartment,4,503,21,7.72,31.88,71.01,21.32 kWh,30.101616964984913 kWh,41.19,16.61,1
IN-KL-ELC-16181633,29-01-2023,IN_KL_ALP,Independent House,6,2236,10,6.01,34.71,75.91,19.07 kWh,19.18 kWh,0.58,17.83,0
IN-KL-ELC-83374719,13-01-2023,IN_KL_TVM,Apartment,4,1660,21,2.97,29.42,69.04,17.03 kWh,16.76 kWh,-1.59,17.26,0
IN-KL-ELC-31295740,15-01-2023,IN_KL_ALP,Independent House,4,1454,12,7.78,28.71,82.82,17.29 kWh,16.82 kWh,-2.72,17.83,0
IN-KL-ELC-59350609,01-01-2023,IN_KL_ERN,Apartment,2,2188,20,4.97,34.65,76.52,17.25 kWh,16.88 kWh,-2.14,16.61,0
IN-KL-ELC-55367153,10-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,23.84,60.68,11.98 kWh,13.11 kWh,9.43,16.89,0
IN-KL-ELC-61443706,20-01-2023,IN_KL_TVM,Independent House,5,2500,9,4.71,32.08,58.01,15.86 kWh,16.24 kWh,2.4,16.89,0
IN-KL-ELC-26306854,04-01-2023,IN_KL_ALP,Independent House,5,2616,11,7.08,22.04,61.44,15.73 kWh,14.92 kWh,-5.15,17.83,0
IN-KL-ELC-24470126,07-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,28.64,68.6,18.63 kWh,19.07 kWh,2.36,17.26,0
IN-KL-ELC-79523894,08-01-2023,IN_KL_ERN,Apartment,6,1786,21,7.85,29.01,54.31,22.7 kWh,34.98875840490418 kWh,54.14,16.61,1
IN-KL-ELC-41369910,10-01-2023,IN_KL_TVM,Apartment,3,1883,15,3.08,30.34,49.04,14.13 kWh,15.04 kWh,6.44,17.26,0
IN-KL-ELC-61622615,08-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,29.5,84.64,11.67 kWh,11.4 kWh,-2.31,17.26,1
IN-KL-ELC-65776530,12-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,32.35,50.19,10.85 kWh,14.371889248438094 kWh,32.46,16.43,1
IN-KL-ELC-48039180,06-01-2023,IN_KL_ALP,Independent House,4,574,11,7.77,34.91,82.51,18.55 kWh,19.58 kWh,5.55,17.83,0
IN-KL-ELC-48039180,22-01-2023,IN_KL_ALP,Independent House,4,574,11,7.77,28.88,48.09,16.99 kWh,null,-3.06,17.83,1
IN-KL-ELC-88230909,09-01-2023,IN_KL_ERN,Independent House,3,2035,15,5,29.26,74.16,15.33 kWh,15.17 kWh,-1.04,16.43,0
IN-KL-ELC-99631077,17-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,34.44,50.46,19.64 kWh,null,0.1,16.47,1
IN-KL-ELC-28743962,23-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,29.96,53.62,18.99 kWh,18.84 kWh,-0.79,16.43,0
IN-KL-ELC-91636239,13-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,32.51,67.19,15.39 kWh,14.86 kWh,-3.44,16.47,0
IN-KL-ELC-37411538,09-01-2023,IN_KL_TVM,Apartment,3,1837,6,7.27,25.31,67.26,13.06 kWh,14.24 kWh,9.04,17.26,0
IN-KL-ELC-11739503,19-01-2023,IN_KL_ERN,Apartment,2,866,21,6.44,39.01,65.13,19.96 kWh,35.750627020044334 kWh,79.11,16.61,1
IN-KL-ELC-86684493,28-01-2023,IN_KL_ALP,Independent House,5,2781,14,3.77,26.33,73.86,null,16.11 kWh,3.8,17.83,0
IN-KL-ELC-11819825,14-01-2023,IN_KL_ERN,Apartment,4,605,13,7.36,31.76,76.52,18.14 kWh,19.0 kWh,4.74,16.61,0
IN-KL-ELC-87073868,07-01-2023,IN_KL_TVM,Apartment,6,2717,6,7.52,27.91,47.9,16.99 kWh,17.88 kWh,5.24,17.26,0
IN-KL-ELC-30653258,22-01-2023,IN_KL_ERN,Independent House,5,1550,6,2.99,28.92,45.9,12.83 kWh,12.59 kWh,-1.87,16.43,0
IN-KL-ELC-34712069,19-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,34.84,60.62,18.07 kWh,17.91 kWh,-0.89,16.47,0
IN-KL-ELC-22347643,26-01-2023,IN_KL_ALP,Apartment,1,2453,15,6.78,34.42,64.77,15.6 kWh,14.29 kWh,-8.4,16.47,0
IN-KL-ELC-17803969,09-01-2023,IN_KL_TVM,Independent House,1,1784,6,6.09,28.76,60.96,10.76 kWh,13.019344371166444 kWh,21,16.89,1
IN-KL-ELC-97676491,20-01-2023,IN_KL_ALP,Apartment,3,634,12,3.21,33.93,78.56,13.88 kWh,13.39 kWh,-3.53,16.47,0
IN-KL-ELC-93121901,04-01-2023,IN_KL_ERN,Villa,6,1367,7,5.36,35.8,77.26,17.68 kWh,16.84 kWh,-4.75,16.28,0
IN-KL-ELC-13024599,09-01-2023,IN_KL_TVM,Independent House,6,2725,6,6.08,31,68.04,16.71 kWh,17.63 kWh,5.51,16.89,0
IN-KL-ELC-60116792,11-01-2023,IN_KL_TVM,Independent House,2,2570,20,3.68,28.39,71.53,14.79 kWh,14.27 kWh,-3.52,16.89,0
IN-KL-ELC-91572504,27-01-2023,IN_KL_ERN,Apartment,4,1085,15,5.79,37.31,50.29,19.08 kWh,17.63 kWh,-7.6,16.61,0
IN-KL-ELC-77157976,23-01-2023,IN_KL_ALP,Villa,1,796,13,6.45,26.73,56.09,null,null,46.46,16.26,1
IN-KL-ELC-38900154,18-01-2023,IN_KL_ALP,Independent House,5,1678,20,3.89,36.19,74.15,null,22.25 kWh,9.34,17.83,0
IN-KL-ELC-19900586,13-01-2023,IN_KL_TVM,Independent House,6,476,12,5.76,34.82,75.65,19.64 kWh,21.49 kWh,9.42,16.89,0
IN-KL-ELC-24122558,19-01-2023,IN_KL_TVM,Apartment,5,2676,11,3.1,21.59,57.67,13.0 kWh,13.38 kWh,2.92,17.26,0
IN-KL-ELC-11593573,03-01-2023,IN_KL_ERN,Independent House,1,622,20,5.89,34.31,67.83,null,16.6 kWh,-0.78,16.43,0
IN-KL-ELC-27671813,11-01-2023,IN_KL_TVM,Independent House,1,2623,6,3.37,32.11,53.51,9.21 kWh,8.16 kWh,-11.4,16.89,1
IN-KL-ELC-97676491,18-01-2023,IN_KL_ALP,Apartment,3,634,12,3.21,34.74,77.6,14.04 kWh,14.26 kWh,1.57,16.47,0
IN-KL-ELC-24569037,09-01-2023,IN_KL_ERN,Villa,4,1470,6,6.43,30.32,55.77,14.59 kWh,24.826208512785648 kWh,70.16,16.28,1
IN-KL-ELC-57963776,23-01-2023,IN_KL_ERN,Apartment,5,1156,8,4.59,32.39,61.93,15.48 kWh,15.3 kWh,-1.16,16.61,0
IN-KL-ELC-20492608,09-01-2023,IN_KL_ERN,Villa,4,922,20,3.09,35.99,48.42,18.44 kWh,17.93 kWh,-2.77,16.28,0
IN-KL-ELC-85879717,04-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,33.46,66.16,14.05 kWh,13.59 kWh,-3.27,16.47,0
IN-KL-ELC-96676431,20-01-2023,IN_KL_ALP,Apartment,4,1136,20,5.63,22.32,76.53,16.65 kWh,28.460380762215905 kWh,70.93,16.47,1
IN-KL-ELC-29058334,17-01-2023,IN_KL_ERN,Independent House,2,816,17,5.71,31.43,58.71,15.97 kWh,25.329893874062122 kWh,58.61,16.43,1
IN-KL-ELC-46470083,12-01-2023,IN_KL_TVM,Independent House,2,2202,12,3.44,26.33,45.79,11.51 kWh,11.8 kWh,2.52,16.89,1
IN-KL-ELC-83633639,12-01-2023,IN_KL_TVM,Villa,4,1490,9,2.88,39.11,49.66,14.67 kWh,26.658380145096135 kWh,81.72,16.02,1
IN-KL-ELC-51224449,30-01-2023,IN_KL_ALP,Independent House,5,950,20,6.09,28.6,55.75,19.84 kWh,26.577800950467957 kWh,33.96,17.83,1
IN-KL-ELC-69583861,26-01-2023,IN_KL_ALP,Independent House,5,1941,14,3.61,26.85,65.19,15.54 kWh,20.629201192179455 kWh,32.75,17.83,1
IN-KL-ELC-85734885,30-01-2023,IN_KL_ALP,Villa,3,1233,17,7.28,30.29,67.67,17.99 kWh,25.769719717544966 kWh,43.24,16.26,1
IN-KL-ELC-94750240,29-01-2023,IN_KL_TVM,Villa,6,2564,15,3.42,31.47,45.67,18.0 kWh,null,-8,16.02,1
IN-KL-ELC-95024504,19-01-2023,IN_KL_ALP,Apartment,6,1523,16,7.42,33.42,58.58,22.04 kWh,20.44 kWh,-7.26,16.47,0
IN-KL-ELC-22704224,02-01-2023,IN_KL_TVM,Apartment,3,476,16,3.31,31.09,82.82,14.82 kWh,23.467149039682145 kWh,58.35,17.26,1
